vial,block,treat,pop,sex,day50,pheno
B2:40,2,SA,1,M,0.6,EB
B2:14,2,control,10,F,10.2,EB
B2:115,2,control,9,F,9.5,EB
B2:73,2,SA,1,F,8.375,EB
B2:73,2,SA,1,M,9.695652174,EB
B2:13,2,SA,1,F,10.31428571,EB
B2:51,2,SA,1,F,10.84,EB
B2:111,2,control,9,M,6.2,EB
B2:34,2,SA,3,F,10.89473684,EB
B2:14,2,control,10,M,9.046511628,EB
B2:93,2,control,7,F,10.08571429,EB
B2:48,2,SA,4,M,10.47826087,EB
B2:26,2,SA,2,F,11.68292683,EB
B2:8,2,control,10,F,8.590909091,EB
B2:47,2,SA,4,F,10.83529412,EB
B2:48,2,SA,4,F,7.72,EB
B2:63,2,SA,5,F,10.5625,EB
B2:60,2,SA,5,F,11.75862069,EB
B2:91,2,control,7,M,8.111111111,EB
B2:27,2,SA,2,F,10.25714286,EB
B2:61,2,SA,5,F,10.52173913,EB
B2:74,2,control,6,F,9.25,EB
B2:94,2,control,7,M,10.63265306,EB
B2:114,2,control,9,F,9.8,EB
B2:21,2,SA,1,F,11.51162791,EB
B2:50,2,SA,4,M,10.2195122,EB
B2:27,2,SA,2,M,11.35294118,EB
B2:11,2,control,10,F,11,EB
B2:56,2,SA,4,F,9.814814815,EB
B2:44,2,SA,3,F,11.15555556,EB
B2:17,2,control,10,F,9.4,EB
B2:42,2,SA,3,M,12.25,EB
B2:56,2,SA,4,M,8.461538462,EB
B2:41,2,SA,3,F,11.88888889,EB
B2:74,2,control,6,M,10.23076923,EB
B2:19,2,control,10,F,9,EB
B2:34,2,SA,3,M,12.2195122,EB
B2:4,2,control,9,F,9.594594595,EB
B2:8,2,control,10,M,8.384615385,EB
B2:93,2,control,7,M,9.571428571,EB
B2:3,2,control,9,F,10.86956522,EB
B2:111,2,control,9,F,9.875,EB
B2:94,2,control,7,F,7.896551724,EB
B2:112,2,control,9,F,8.259259259,EB
B2:37,2,SA,3,F,10.61290323,EB
B2:13,2,SA,1,M,11.21621622,EB
B2:21,2,SA,1,M,11.36666667,EB
B2:10,2,control,10,F,10.75510204,EB
B2:70,2,SA,5,F,11,EB
B2:15,2,control,10,F,10.52941176,EB
B2:61,2,SA,5,M,11.13636364,EB
B2:108,2,control,8,F,9.941176471,EB
B2:52,2,SA,4,M,8.724137931,EB
B2:20,2,control,10,F,10.57692308,EB
B2:105,2,control,8,F,10.23076923,EB
B2:95,2,SA,1,F,11.09302326,EB
B2:43,2,SA,3,F,11.34146341,EB
B2:107,2,control,8,F,11.21428571,EB
B2:100,2,control,8,F,7.842105263,EB
B2:102,2,control,8,M,10.57647059,EB
B2:72,2,control,6,F,8.4,EB
B2:55,2,SA,4,M,10.58974359,EB
B2:41,2,SA,3,M,12.23809524,EB
B2:91,2,control,7,F,8.470588235,EB
B2:24,2,SA,2,F,9.666666667,EB
B2:100,2,control,8,M,9.894736842,EB
B2:40,2,SA,1,F,10.23076923,EB
B2:71,2,SA,5,F,10.29411765,EB
B1:87,1,control,8,M,10.29411765,EB
B2:104,2,control,8,M,10.66666667,EB
B1:17,1,SA,1,F,11.16666667,EB
B2:57,2,SA,4,M,11.25641026,EB
B2:64,2,SA,5,M,12.57142857,EB
B2:70,2,SA,5,M,12,EB
B2:25,2,SA,2,F,11.78431373,EB
B1:88,1,control,8,F,10.23076923,EB
B1:73,1,control,6,F,11.91666667,EB
B2:46,2,SA,4,M,11.02941176,EB
B2:55,2,SA,4,F,9.985915493,EB
B1:21,1,SA,2,F,12.02439024,EB
B2:99,2,control,8,F,10,EB
B2:105,2,control,8,M,10.5,EB
B2:57,2,SA,4,F,9.666666667,EB
B2:101,2,control,8,F,10,EB
B2:12,2,control,10,M,11.02409639,EB
B2:85,2,control,6,F,10.67741935,EB
B2:84,2,SA,1,F,11.07843137,EB
B2:66,2,SA,5,M,11.94444444,EB
B2:37,2,SA,3,M,10.84615385,EB
B2:29,2,SA,1,F,9.470588235,EB
B2:50,2,SA,4,F,9.96,EB
B2:18,2,control,10,F,10.69230769,EB
B2:68,2,SA,5,F,10.75510204,EB
B2:1,2,SA,1,F,11.26315789,EB
B2:60,2,SA,5,M,11.66666667,EB
B2:32,2,SA,2,M,11.83636364,EB
B2:89,2,control,7,F,11.29213483,EB
B2:62,2,SA,1,F,9.888888889,EB
B2:69,2,SA,5,M,11.93333333,EB
B2:32,2,SA,2,F,12.20833333,EB
B2:66,2,SA,5,F,12,EB
B2:23,2,SA,2,F,11.30769231,EB
B2:2,2,SA,1,F,11.48979592,EB
B2:102,2,control,8,F,10.07317073,EB
B2:81,2,control,6,F,9.129032258,EB
B2:35,2,SA,3,F,11.67924528,EB
B2:53,2,SA,4,F,11.04255319,EB
B2:47,2,SA,4,M,10.66666667,EB
B2:4,2,control,9,M,8.1,EB
B2:3,2,control,9,M,9.666666667,EB
B2:36,2,SA,3,F,11.57971014,EB
B2:45,2,SA,3,F,12.3,EB
B2:24,2,SA,2,M,11.8,EB
B2:75,2,control,6,M,10.76923077,EB
B1:75,1,control,6,F,11.84848485,EB
B1:36,1,SA,1,F,10.78947368,EB
B2:28,2,SA,2,F,11.38297872,EB
B2:51,2,SA,1,M,10.28571429,EB
B2:75,2,control,6,F,10.25,EB
B2:17,2,control,10,M,9.903225806,EB
B2:65,2,SA,5,M,11.23529412,EB
B2:101,2,control,8,M,7.214285714,EB
B1:90,1,control,8,M,11.73684211,EB
B2:22,2,SA,2,F,12.52,EB
B2:63,2,SA,5,M,11.08333333,EB
B2:71,2,SA,5,M,11.71428571,EB
B2:69,2,SA,5,F,11.75,EB
B2:33,2,SA,3,F,11.76,EB
B2:106,2,SA,1,F,10.87234043,EB
B2:78,2,control,6,M,11.19047619,EB
B2:110,2,control,9,F,11.62068966,EB
B2:38,2,SA,3,M,11.81081081,EB
B2:92,2,control,7,M,10.58241758,EB
B2:95,2,SA,1,M,12.66037736,EB
B2:18,2,control,10,M,11.76190476,EB
B2:80,2,control,6,F,9.444444444,EB
B2:1,2,SA,1,M,12.07692308,EB
B2:16,2,control,10,F,11.6,EB
B2:67,2,SA,5,F,12,EB
B2:15,2,control,10,M,10.82352941,EB
B2:86,2,control,7,F,12.18367347,EB
B1:47,1,SA,1,M,11.8,EB
B1:48,1,SA,4,F,12.5,EB
B2:76,2,control,6,F,10.94594595,EB
B2:52,2,SA,4,F,9.259259259,EB
B2:25,2,SA,2,M,11.34146341,EB
B2:22,2,SA,2,M,11.36666667,EB
B2:65,2,SA,5,F,11.79120879,EB
B2:26,2,SA,2,M,11.96428571,EB
B2:7,2,control,9,M,10.41176471,EB
B1:53,1,SA,4,F,11.30769231,EB
B2:39,2,SA,3,F,12.13333333,EB
B2:53,2,SA,4,M,12.39240506,EB
B2:9,2,control,10,M,11.49122807,EB
B2:6,2,control,9,F,11,EB
B2:44,2,SA,3,M,11.43137255,EB
B2:38,2,SA,3,F,12.20833333,EB
B2:109,2,control,8,F,10.75,EB
B2:2,2,SA,1,M,10.76923077,EB
B2:33,2,SA,3,M,11.91428571,EB
B2:85,2,control,6,M,11.48,EB
B1:1,1,SA,1,F,10.89189189,EB
B1:98,1,control,8,F,11.52380952,EB
B2:64,2,SA,5,F,11.62745098,EB
B1:76,1,control,6,F,11.10526316,EB
B1:28,1,SA,2,F,11.6,EB
B2:112,2,control,9,M,10.65957447,EB
B2:9,2,control,10,F,11.35294118,EB
B1:97,1,control,8,F,10.63636364,EB
B2:23,2,SA,2,M,12.64285714,EB
B2:6,2,control,9,M,10.34545455,EB
B2:59,2,SA,5,F,12.41463415,EB
B2:106,2,SA,1,M,12.15384615,EB
B2:92,2,control,7,F,11.78195489,EB
B2:98,2,control,8,F,8.548387097,EB
B2:76,2,control,6,M,11.20689655,EB
B1:48,1,SA,4,M,11.57777778,EB
B2:43,2,SA,3,M,11.86363636,EB
B2:35,2,SA,3,M,11.52173913,EB
B2:7,2,control,9,F,10.86666667,EB
B1:97,1,control,8,M,11.13333333,EB
B2:88,2,control,7,F,11.51162791,EB
B2:109,2,control,8,M,11,EB
B2:72,2,control,6,M,10.95744681,EB
B2:28,2,SA,2,M,13.18181818,EB
B2:62,2,SA,1,M,9.666666667,EB
B2:68,2,SA,5,M,11.60606061,EB
B1:87,1,control,8,F,11.75,EB
B1:100,1,SA,1,M,11.96774194,EB
B2:82,2,control,6,M,12.09565217,EB
B1:2,1,SA,1,F,12.15384615,EB
B1:53,1,SA,4,M,12.27272727,EB
B1:30,1,SA,2,F,12.375,EB
B1:25,1,SA,1,M,12.6,EB
B2:103,2,control,8,F,10.03030303,EB
B2:19,2,control,10,M,11.11111111,EB
B1:50,1,SA,4,M,12.05882353,EB
B2:42,2,SA,3,F,11.16666667,EB
B1:46,1,SA,4,F,11.33333333,EB
B2:89,2,control,7,M,8.569230769,EB
B2:54,2,SA,4,M,11.34482759,EB
B2:80,2,control,6,M,10.77419355,EB
B2:11,2,control,10,M,11.52173913,EB
B2:59,2,SA,5,M,12.1627907,EB
B2:5,2,control,9,F,11.45070423,EB
B2:99,2,control,8,M,9.916666667,EB
B2:54,2,SA,4,F,11.41860465,EB
B2:116,2,control,9,F,11.47222222,EB
B1:55,1,SA,4,M,12.03571429,EB
B1:64,1,SA,5,M,12.01639344,EB
B1:49,1,SA,4,F,11.59459459,EB
B1:51,1,SA,4,F,12.08196721,EB
B2:58,2,SA,4,M,11.61728395,EB
B2:29,2,SA,1,M,10.87878788,EB
B1:60,1,SA,5,F,11.75,EB
B2:110,2,control,9,M,11.05555556,EB
B2:88,2,control,7,M,11.54166667,EB
B2:67,2,SA,5,M,11.9,EB
B2:115,2,control,9,M,9.470588235,EB
B2:98,2,control,8,M,10.83783784,EB
B1:74,1,control,6,F,10.42857143,EB
B1:60,1,SA,5,M,12.13636364,EB
B2:16,2,control,10,M,10.72972973,EB
B2:78,2,control,6,F,11.52173913,EB
B2:12,2,control,10,F,10.86206897,EB
B2:90,2,control,7,M,10.38461538,EB
B1:44,1,SA,4,F,11.78571429,EB
B1:16,1,control,10,F,12,EB
B2:31,2,SA,2,M,12.95,EB
B2:84,2,SA,1,M,12.13253012,EB
B1:64,1,SA,5,F,12.35714286,EB
B1:27,1,SA,2,F,12.22727273,EB
B2:82,2,control,6,F,11.94117647,EB
B1:57,1,SA,5,F,12.15384615,EB
B2:81,2,control,6,M,11,EB
B1:13,1,SA,1,F,12.63636364,EB
B1:66,1,SA,5,M,13,EB
B1:21,1,SA,2,M,12.11111111,EB
B1:75,1,control,6,M,12.17948718,EB
