"","pop","treat","N","WTF_mod","sd","se","ci","WTM_mod","mSE","mSD","mCI"
"1","1","2",23,9.84784254986956,2.29033107027007,0.477567041114077,0.990413424685099,10.4540485927826,0.528681039997526,2.53546519739789,1.09641737036236
"2","2","2",22,10.8148844517273,1.54305009491506,0.328979385608484,0.684150084941409,11.4370473787727,0.242698603243695,1.13835735354136,0.504719375401659
"3","3","2",24,10.7442946658333,1.57297884583989,0.321082962374977,0.664210713692889,11.3221617207083,0.260060996287143,1.27403348580666,0.537977159142559
"4","4","2",24,10.6571216760833,1.37084713959217,0.279823000612891,0.578857979788151,10.5994190595,0.287806821962635,1.409959716601,0.595373772583526
"5","5","2",24,10.607687107875,1.45713770016812,0.29743698753204,0.61529528787827,11.0052201042917,0.192003704412327,0.940622209068735,0.397189924361209
"6","6","1",20,10.85603224375,1.16838144942814,0.261258034457106,0.546819350526157,11.33679305765,0.222674536126426,0.995830799273844,0.466063160416822
"7","7","1",17,11.1672637062941,1.73465768845448,0.420716286693388,0.891878685630002,11.2948531716471,0.429810562213296,1.77215434701153,0.911157688497234
"8","8","1",24,10.9233056523333,1.06765098188205,0.217933344082707,0.450829470800765,11.3417406655417,0.229275253955849,1.12321476567772,0.474291998976526
"9","9","1",24,10.706912784375,2.11865331466752,0.432468296899307,0.894628833645715,11.4936988094583,0.299119247850181,1.46537905895607,0.618775308488097
"10","10","1",24,10.3650996984583,2.33246632080353,0.476112694016289,0.984914147893912,11.1638598479583,0.289511947894116,1.41831309355963,0.598901094318406
