treatment,population,phenotype,vial,eggs1,eggs2,total,average
selected,1,WT,SA:WT:1,34,0,34,17
selected,1,WT,SA:WT:2,46,22,68,34
selected,1,WT,SA:WT:3,30,16,46,23
selected,1,WT,SA:WT:4,24,4,28,14
selected,1,WT,SA:WT:5,20,3,23,11.5
selected,1,WT,SA:WT:6,63,5,68,34
selected,1,WT,SA:WT:7,38,15,53,26.5
selected,1,WT,SA:WT:8,40,3,43,21.5
selected,1,WT,SA:WT:9,42,0,42,21
selected,2,WT,SA:WT:10,2,0,2,1
selected,2,WT,SA:WT:11,5,14,19,9.5
selected,2,WT,SA:WT:12,21,2,23,11.5
selected,2,WT,SA:WT:13,18,0,18,9
selected,2,WT,SA:WT:14,0,2,2,1
selected,2,WT,SA:WT:15,40,25,65,32.5
selected,2,WT,SA:WT:16,31,18,49,24.5
selected,2,WT,SA:WT:17,16,9,25,12.5
selected,2,WT,SA:WT:18,4,2,6,3
selected,3,WT,SA:WT:19,32,3,35,17.5
selected,3,WT,SA:WT:20,4,2,6,3
selected,3,WT,SA:WT:21,0,36,36,18
selected,3,WT,SA:WT:22,0,0,0,0
selected,3,WT,SA:WT:23,22,16,38,19
selected,3,WT,SA:WT:24,12,11,23,11.5
selected,3,WT,SA:WT:25,55,6,61,30.5
selected,3,WT,SA:WT:26,57,1,58,29
selected,3,WT,SA:WT:27,47,0,47,23.5
selected,4,WT,SA:WT:28,0,0,0,0
selected,4,WT,SA:WT:29,0,0,0,0
selected,4,WT,SA:WT:30,1,6,7,3.5
selected,4,WT,SA:WT:31,2,12,14,7
selected,4,WT,SA:WT:32,1,3,4,2
selected,4,WT,SA:WT:33,6,1,7,3.5
selected,4,WT,SA:WT:34,11,6,17,8.5
selected,4,WT,SA:WT:35,10,2,12,6
selected,4,WT,SA:WT:36,0,28,28,14
selected,5,WT,SA:WT:37,20,1,21,10.5
selected,5,WT,SA:WT:38,1,0,1,0.5
selected,5,WT,SA:WT:39,4,0,4,2
selected,5,WT,SA:WT:40,6,0,6,3
selected,5,WT,SA:WT:41,17,2,19,9.5
selected,5,WT,SA:WT:42,3,0,3,1.5
