day,treatment,population,vial,success male,time
1,SA,1,1,E,1105
1,SA,1,2,E,379.33
1,SA,1,3,WT,442.66
1,SA,2,1,E,789.99
1,SA,2,2,WT,623.32
1,SA,2,3,WT,601.65
1,SA,3,1,WT,694.98
1,SA,3,2,WT,1133.31
1,SA,3,3,WT,956.64
1,SA,4,1,WT,1094.97
1,SA,4,2,WT,963.3
1,SA,4,3,WT,261.63
1,SA,5,1,WT,342.96
1,SA,5,2,WT,513.29
1,SA,5,3,WT,426.62
1,control,6,1,WT,794.95
1,control,6,2,WT,373.28
1,control,6,3,WT,521.61
1,control,7,1,E,639.94
1,control,7,2,E,1158.27
1,control,7,3,WT,1251.6
1,control,8,1,WT,494.93
1,control,8,2,E,553.26
1,control,8,3,E,306.59
1,control,9,1,WT,1009.92
1,control,9,2,WT,578.25
1,control,9,3,WT,881.58
1,control,10,1,WT,269.91
1,control,10,2,E,303.24
1,control,10,3,WT,966.57
2,SA,1,1,WT,740
2,SA,1,2,E,767.68
2,SA,1,3,WT,1635.36
2,SA,1,4,E,923.04
2,SA,1,5,WT,2186.72
2,SA,1,6,WT,538.4
2,SA,2,1,WT,206.08
2,SA,2,2,E,513.76
2,SA,2,3,WT,981.44
2,SA,2,4,WT,549.12
2,SA,2,5,WT,206.8
2,SA,2,6,E,134.48
2,SA,3,1,E,632.16
2,SA,3,2,WT,289.84
2,SA,3,3,WT,1267.52
2,SA,3,4,WT,795.2
2,SA,3,5,WT,927.88
2,SA,3,6,WT,2874.56
2,SA,4,1,WT,918.24
2,SA,4,2,WT,575.92
2,SA,4,3,WT,1073.6
2,SA,4,4,E,1646.28
2,SA,4,5,E,988.96
2,SA,4,6,E,466.64
2,SA,5,1,E,544.32
2,SA,5,2,WT,542
2,SA,5,3,WT,849.68
2,SA,5,4,WT,672.36
2,SA,5,5,WT,975.04
2,SA,5,6,E,1322.72
2,control,6,1,WT,500.4
2,control,6,2,E,503.08
2,control,6,3,E,1120.76
2,control,6,4,E,748.44
2,control,6,5,WT,1417.12
2,control,7,1,E,783.8
2,control,7,2,WT,456.48
2,control,7,3,WT,744.16
2,control,7,4,WT,3371.84
2,control,7,6,E,729.52
2,control,8,1,WT,740.2
2,control,8,2,WT,394.88
2,control,8,3,E,772.56
2,control,8,4,E,1020.24
2,control,8,5,WT,477.92
2,control,8,6,E,495.6
2,control,9,1,E,498.28
2,control,9,2,E,290.96
2,control,9,3,E,768.64
2,control,9,4,WT,1853.32
2,control,9,5,WT,944
2,control,9,6,WT,1011.68
2,control,10,1,E,424.36
2,control,10,2,E,427.04
2,control,10,3,E,419.72
2,control,10,4,E,1752.4
3,SA,1,1,WT,880
3,SA,1,2,E,608.75
3,SA,1,3,E,442.5
3,SA,1,4,WT,1256.25
3,SA,2,1,WT,655
3,SA,2,2,WT,723.75
3,SA,2,3,E,482.5
3,SA,2,4,E,641.25
3,SA,3,1,E,640
3,SA,3,2,WT,703.75
3,SA,3,3,E,467.5
3,SA,3,4,WT,846.25
3,SA,4,1,E,465
3,SA,4,2,WT,663.75
3,SA,4,3,WT,1552.5
3,SA,4,4,WT,111.25
3,SA,5,1,WT,200
3,SA,5,2,E,1113.75
3,SA,5,3,E,777.5
3,SA,5,4,WT,1126.25
3,control,6,1,E,675
3,control,6,2,WT,983.75
3,control,6,3,WT,402.5
3,control,6,4,WT,566.25
3,control,7,1,WT,900
3,control,7,2,WT,638.75
3,control,7,3,WT,457.5
3,control,7,4,WT,1386.25
3,control,8,1,E,1440
3,control,8,2,WT,513.75
3,control,8,3,E,342.5
3,control,8,4,E,831.25
3,control,9,1,WT,1850
