vial,block,treat,pop,eeF_mod,eeM_mod,WTF_mod,WTM_mod,totF_mod,totM_mod,totee_mod,totWT_mod,total_mod
B1:1,1,2,1,10.89189189,11.51851852,10.84,11.66666667,10.87096774,11.61111111,11.15625,11.37142857,11.51851852
B1:2,1,2,1,12.15384615,11.8,11,11.94736842,11.6,11.91666667,12.05555556,11.58064516,11.8
B1:3,1,1,9,11.38709677,11,11.65384615,11.98113208,11.55421687,11.85245902,11.30769231,11.81904762,11
B1:4,1,1,10,11.47727273,11.52631579,11.5952381,11.63768116,11.53488372,11.57931034,11.5,11.61437908,11.52631579
B1:5,1,1,10,11.91428571,12.15384615,12.08860759,11.84745763,12.03508772,12.02189781,12.07964602,11.98550725,12.15384615
B1:6,1,1,10,11.19047619,12.125,11.45,11.77419355,11.31707317,11.95238095,11.59459459,11.5915493,12.125
B1:7,1,1,10,11.91891892,11.88888889,11.61538462,11.62745098,11.79365079,11.75,11.90243902,11.62337662,11.88888889
B1:8,1,1,10,12.81395349,12.92,12.96721311,12.63333333,12.90384615,12.71764706,12.85294118,12.80165289,12.92
B1:9,1,1,10,11.74418605,12.51515152,11.77777778,12.20833333,11.7628866,12.33333333,12.07894737,11.98039216,12.51515152
B1:10,1,1,10,11.97435897,12.31578947,12.23076923,11.9,12.12087912,12.1025641,12.14285714,12.08695652,12.31578947
B1:11,1,1,10,11.9,12.08108108,12.51351351,12.20547945,12.19480519,12.16363636,11.98701299,12.30909091,12.08108108
B1:12,1,1,10,12.39473684,12.33333333,12.17808219,11.94444444,12.2885906,12.2,12.36551724,12.10091743,12.33333333
B1:13,1,2,1,12.63636364,12.63636364,11.30769231,12.51351351,11.91666667,12.54166667,12.63636364,12.2,12.63636364
B1:14,1,1,10,11.6875,12.80952381,12.33333333,12.44680851,11.98305085,12.55882353,12.13207547,12.40540541,12.80952381
B1:15,1,1,10,11.98245614,12.40740741,12.18681319,12.76666667,12.10810811,12.59649123,12.18918919,12.41721854,12.40740741
B1:16,1,1,10,12,11.9375,11.26315789,11.6875,11.6744186,11.8125,11.975,11.45714286,11.9375
B1:17,1,2,1,11.16666667,9.666666667,9.666666667,11.8,10.66666667,10.78947368,10.52380952,11,9.666666667
B1:18,1,2,2,13.38095238,13.60869565,12.75280899,12.89795918,13.01315789,13.03305785,13.44186047,12.82887701,13.60869565
B1:19,1,2,2,13.57894737,12.52941176,12.05405405,12.21052632,12.57142857,12.39325843,12.97752809,12.10714286,12.52941176
B1:20,1,2,2,12.47368421,13.19047619,11.73015873,12.375,12.00990099,12.69811321,12.85,12.05511811,13.19047619
B1:21,1,2,2,12.02439024,12.11111111,9.8125,11.31818182,11.05479452,11.61971831,12.05882353,10.68421053,12.11111111
B1:22,1,2,2,12.29166667,13.07272727,12.33333333,13.33333333,12.31111111,13.20869565,12.70873786,12.92156863,13.07272727
B1:23,1,2,2,12.92,13.125,12.66666667,12.4939759,12.74683544,12.72519084,13.02040816,12.59162304,13.125
B1:24,1,2,2,9.666666667,12.33333333,11.35294118,11.68292683,11.1,11.85714286,11.57142857,11.53333333,12.33333333
B1:25,1,2,1,12.22580645,12.6,11.38356164,11,11.63461538,11.8,12.43661972,11.24778761,12.6
B1:26,1,2,2,12.125,12.65517241,12.38888889,12.06060606,12.34090909,12.24210526,12.46666667,12.23188406,12.65517241
B1:27,1,2,2,12.22727273,12,11.28571429,11.95454545,11.7311828,11.97222222,12.13888889,11.60215054,12
B1:28,1,2,2,11.6,11.7,10.86666667,11.88888889,11.23333333,11.7761194,11.65714286,11.35087719,11.7
B1:29,1,2,2,12.73684211,12.51515152,11.87179487,12.2962963,12.15517241,12.37931034,12.63380282,12.04545455,12.51515152
B1:30,1,2,2,12.375,12.88888889,11,11.63636364,11.6875,12.2,12.64705882,11.36842105,12.88888889
B1:31,1,2,3,12.83928571,12.8,11.78095238,12.16504854,12.32718894,12.37254902,12.82716049,11.97115385,12.8
B1:32,1,2,3,12.90909091,12.125,11.89655172,11.91428571,12.33333333,11.96350365,12.57894737,11.90797546,12.125
B1:33,1,2,3,12.6,13.22222222,12.125,12.55,12.27659574,12.75862069,12.93939394,12.36111111,13.22222222
B1:34,1,2,3,12.53846154,12.89041096,11.64864865,12.22105263,12.0647482,12.51190476,12.72463768,11.9704142,12.89041096
B1:35,1,2,3,11.75,13,11.86567164,11.93023256,11.83516484,12.45238095,12.53846154,11.89090909,13
B1:36,1,2,1,10.78947368,10.85185185,10.35483871,11.89855072,10.5942029,11.60416667,10.81538462,11.42,10.85185185
B1:37,1,2,3,12.25,13.7027027,12.13333333,12.64285714,12.16393443,13.06451613,13.02898551,12.32876712,13.7027027
B1:38,1,2,3,13,12.64,11.72131148,12.39534884,12.25,12.48529412,12.80645161,12.11564626,12.64
B1:39,1,2,3,12.54545455,12.95180723,12.20481928,12.53246753,12.32283465,12.75,12.81102362,12.3625,12.95180723
B1:40,1,2,3,13.26415094,12.62962963,12.19148936,12.41818182,12.48453608,12.48780488,13.05,12.25510204,12.62962963
B1:41,1,2,3,12.33333333,12.10638298,11.98039216,12.5483871,12.16666667,12.35779817,12.23076923,12.2920354,12.10638298
B1:42,1,2,3,11.95454545,12.23809524,11.75,11.74626866,11.84782609,11.86363636,12.04615385,11.74782609,12.23809524
B1:43,1,2,3,12.8,13.35,11.92035398,12.36448598,12.22543353,12.78609626,13.11428571,12.13636364,13.35
B1:44,1,2,4,11.78571429,11.58064516,11.26315789,11.38461538,11.57446809,11.49122807,11.6779661,11.33333333,11.58064516
B1:45,1,2,4,11.8115942,11.96,11.48979592,11.4,11.6779661,11.58666667,11.85106383,11.44444444,11.96
B1:46,1,2,4,11.33333333,12.58536585,11.05555556,12.13793103,11.21428571,12.4,12.12307692,11.72340426,12.58536585
B1:47,1,2,1,11.94736842,11.8,11.8,10.63636364,11.93023256,11,11.93023256,11,11.8
B1:48,1,2,4,12.5,11.57777778,10.63636364,10.91304348,11.68,11.35294118,11.93150685,10.77777778,11.57777778
B1:49,1,2,4,11.59459459,12.32075472,11.16,12.3,11.34482759,12.30973451,12.02222222,11.78181818,12.32075472
B1:50,1,2,4,12.19148936,12.05882353,11.64864865,11.04545455,11.85950413,11.58947368,12.12244898,11.42372881,12.05882353
B1:51,1,2,4,12.08196721,11.8,11.16,11.48780488,11.66666667,11.57142857,12.02631579,11.30769231,11.8
B1:52,1,2,4,11.71428571,12.52173913,11.49056604,12.07936508,11.58947368,12.26605505,12.13636364,11.81034483,12.52173913
B1:53,1,2,4,11.30769231,12.27272727,10.68421053,11,10.9375,11.58333333,11.91428571,10.86666667,12.27272727
B1:54,1,2,4,12.53846154,12.96666667,12.23076923,12.01052632,12.33333333,12.38064516,12.744,12.13777778,12.96666667
B1:55,1,2,4,12.66666667,12.03571429,11.83076923,11.13793103,12.01204819,11.72941176,12.18918919,11.61702128,12.03571429
B1:56,1,2,4,11.86956522,12.51724138,11.80991736,11.48484848,11.83157895,11.96774194,12.16535433,11.69518717,12.51724138
B1:57,1,2,5,12.15384615,12.15942029,11.29411765,11.44444444,11.66666667,11.84552846,12.15702479,11.36065574,12.15942029
B1:58,1,2,1,11.8,12.66666667,12.66666667,12.11111111,12.41176471,12.33333333,12.27272727,12.42857143,12.66666667
B1:59,1,2,5,12.19298246,12.33333333,11.37681159,11.47761194,11.74603175,11.79245283,12.25,11.42647059,12.33333333
B1:60,1,2,5,11.75,12.13636364,11.17777778,11.20408163,11.37681159,11.64516129,12,11.19148936,12.13636364
B1:61,1,2,5,12.125,12.125,12.125,12.625,12.125,12.375,12.125,12.45833333,12.125
