"","X1","block","treat","pop","eeF_mod","eeM_mod","WTF_mod","WTM_mod","totF_mod","totM_mod","totee_mod","totWT_mod","total_mod"
"1",1,1,2,1,10.8918918918919,11.5185185185185,10.84,11.6666666666667,10.8709677419355,11.6111111111111,11.15625,11.3714285714286,11.5185185185185
"2",2,1,2,1,12.1538461538462,11.8,11,11.9473684210526,11.6,11.9166666666667,12.0555555555556,11.5806451612903,11.8
"3",3,1,1,9,11.3870967741935,11,11.6538461538462,11.9811320754717,11.5542168674699,11.8524590163934,11.3076923076923,11.8190476190476,11
"4",4,1,1,10,11.4772727272727,11.5263157894737,11.5952380952381,11.6376811594203,11.5348837209302,11.5793103448276,11.5,11.6143790849673,11.5263157894737
"5",5,1,1,10,11.9142857142857,12.1538461538462,12.0886075949367,11.8474576271186,12.0350877192982,12.021897810219,12.0796460176991,11.9855072463768,12.1538461538462
"6",6,1,1,10,11.1904761904762,12.125,11.45,11.7741935483871,11.3170731707317,11.952380952381,11.5945945945946,11.5915492957746,12.125
"7",7,1,1,10,11.9189189189189,11.8888888888889,11.6153846153846,11.6274509803922,11.7936507936508,11.75,11.9024390243902,11.6233766233766,11.8888888888889
"8",8,1,1,10,12.8139534883721,12.92,12.9672131147541,12.6333333333333,12.9038461538462,12.7176470588235,12.8529411764706,12.801652892562,12.92
"9",9,1,1,10,11.7441860465116,12.5151515151515,11.7777777777778,12.2083333333333,11.7628865979381,12.3333333333333,12.0789473684211,11.9803921568627,12.5151515151515
"10",10,1,1,10,11.974358974359,12.3157894736842,12.2307692307692,11.9,12.1208791208791,12.1025641025641,12.1428571428571,12.0869565217391,12.3157894736842
"11",11,1,1,10,11.9,12.0810810810811,12.5135135135135,12.2054794520548,12.1948051948052,12.1636363636364,11.987012987013,12.3090909090909,12.0810810810811
"12",12,1,1,10,12.3947368421053,12.3333333333333,12.1780821917808,11.9444444444444,12.2885906040268,12.2,12.3655172413793,12.1009174311927,12.3333333333333
"13",13,1,2,1,12.6363636363636,12.6363636363636,11.3076923076923,12.5135135135135,11.9166666666667,12.5416666666667,12.6363636363636,12.2,12.6363636363636
"14",14,1,1,10,11.6875,12.8095238095238,12.3333333333333,12.4468085106383,11.9830508474576,12.5588235294118,12.1320754716981,12.4054054054054,12.8095238095238
"15",15,1,1,10,11.9824561403509,12.4074074074074,12.1868131868132,12.7666666666667,12.1081081081081,12.5964912280702,12.1891891891892,12.4172185430464,12.4074074074074
"16",16,1,1,10,12,11.9375,11.2631578947368,11.6875,11.6744186046512,11.8125,11.975,11.4571428571429,11.9375
"17",17,1,2,1,11.1666666666667,9.66666666666666,9.66666666666666,11.8,10.6666666666667,10.7894736842105,10.5238095238095,11,9.66666666666666
"18",18,1,2,2,13.3809523809524,13.6086956521739,12.752808988764,12.8979591836735,13.0131578947368,13.0330578512397,13.4418604651163,12.8288770053476,13.6086956521739
"19",19,1,2,2,13.5789473684211,12.5294117647059,12.0540540540541,12.2105263157895,12.5714285714286,12.3932584269663,12.9775280898876,12.1071428571429,12.5294117647059
"20",20,1,2,2,12.4736842105263,13.1904761904762,11.7301587301587,12.375,12.009900990099,12.6981132075472,12.85,12.0551181102362,13.1904761904762
"21",21,1,2,2,12.0243902439024,12.1111111111111,9.8125,11.3181818181818,11.0547945205479,11.6197183098592,12.0588235294118,10.6842105263158,12.1111111111111
"22",22,1,2,2,12.2916666666667,13.0727272727273,12.3333333333333,13.3333333333333,12.3111111111111,13.2086956521739,12.7087378640777,12.921568627451,13.0727272727273
"23",23,1,2,2,12.92,13.125,12.6666666666667,12.4939759036145,12.746835443038,12.7251908396947,13.0204081632653,12.5916230366492,13.125
"24",24,1,2,2,9.66666666666666,12.3333333333333,11.3529411764706,11.6829268292683,11.1,11.8571428571429,11.5714285714286,11.5333333333333,12.3333333333333
"25",25,1,2,1,12.2258064516129,12.6,11.3835616438356,11,11.6346153846154,11.8,12.4366197183099,11.2477876106195,12.6
"26",26,1,2,2,12.125,12.6551724137931,12.3888888888889,12.0606060606061,12.3409090909091,12.2421052631579,12.4666666666667,12.231884057971,12.6551724137931
"27",27,1,2,2,12.2272727272727,12,11.2857142857143,11.9545454545455,11.7311827956989,11.9722222222222,12.1388888888889,11.6021505376344,12
"28",28,1,2,2,11.6,11.7,10.8666666666667,11.8888888888889,11.2333333333333,11.7761194029851,11.6571428571429,11.3508771929825,11.7
"29",29,1,2,2,12.7368421052632,12.5151515151515,11.8717948717949,12.2962962962963,12.1551724137931,12.3793103448276,12.6338028169014,12.0454545454545,12.5151515151515
"30",30,1,2,2,12.375,12.8888888888889,11,11.6363636363636,11.6875,12.2,12.6470588235294,11.3684210526316,12.8888888888889
"31",31,1,2,3,12.8392857142857,12.8,11.7809523809524,12.1650485436893,12.3271889400922,12.3725490196078,12.8271604938272,11.9711538461538,12.8
"32",32,1,2,3,12.9090909090909,12.125,11.8965517241379,11.9142857142857,12.3333333333333,11.963503649635,12.5789473684211,11.9079754601227,12.125
"33",33,1,2,3,12.6,13.2222222222222,12.125,12.55,12.2765957446809,12.7586206896552,12.9393939393939,12.3611111111111,13.2222222222222
"34",34,1,2,3,12.5384615384615,12.8904109589041,11.6486486486486,12.2210526315789,12.0647482014388,12.5119047619048,12.7246376811594,11.9704142011834,12.8904109589041
