Block,Treatment,pop,replicate,day,eeF,eeM,WTF,WTM,totF,totM,totee,totWT,total
B1,SA,1,B1:1,10,2,0,2,0,4,0,2,2,4
B1,SA,1,B1:1,11,5,2,1,4,6,6,7,5,12
B1,SA,1,B1:1,12,1,3,2,3,3,6,4,5,9
B1,SA,1,B1:1,13,1,1,2,2,3,3,2,4,6
B1,SA,1,B1:1,14,1,0,0,1,1,1,1,1,2
B1,SA,1,B1:1,15,1,0,0,0,1,0,1,0,1
B1,SA,1,B1:1,16,0,0,0,0,0,0,0,0,0
B1,SA,1,B1:10,10,0,0,0,0,0,0,0,0,0
B1,SA,1,B1:10,11,0,0,3,3,3,3,0,6,6
B1,SA,1,B1:10,12,4,2,3,1,7,3,6,4,10
B1,SA,1,B1:10,13,0,0,0,3,0,3,0,3,3
B1,SA,1,B1:10,14,1,0,0,1,1,1,1,1,2
B1,SA,1,B1:10,15,0,0,0,0,0,0,0,0,0
B1,SA,1,B1:10,16,0,0,0,0,0,0,0,0,0
B1,Control,9,B1:100,10,0,0,0,0,0,0,0,0,0
B1,Control,9,B1:100,11,2,1,2,2,4,3,3,4,7
B1,Control,9,B1:100,12,5,1,8,6,13,7,6,14,20
B1,Control,9,B1:100,13,0,0,1,2,1,2,0,3,3
B1,Control,9,B1:100,14,0,0,0,0,0,0,0,0,0
B1,Control,9,B1:100,15,0,0,0,1,0,1,0,1,1
B1,Control,9,B1:100,16,0,0,0,0,0,0,0,0,0
B1,Control,10,B1:101,10,2,0,1,2,3,2,2,3,5
B1,Control,10,B1:101,11,8,9,6,5,14,14,17,11,28
B1,Control,10,B1:101,12,2,5,6,4,8,9,7,10,17
B1,Control,10,B1:101,13,8,0,5,3,13,3,8,8,16
B1,Control,10,B1:101,14,1,4,1,1,2,5,5,2,7
B1,Control,10,B1:101,15,0,0,0,2,0,2,0,2,2
B1,Control,10,B1:101,16,0,0,0,0,0,0,0,0,0
B1,Control,10,B1:102,10,0,0,0,0,0,0,0,0,0
B1,Control,10,B1:102,11,1,0,3,2,4,2,1,5,6
B1,Control,10,B1:102,12,4,11,8,7,12,18,15,15,30
B1,Control,10,B1:102,13,2,3,1,3,3,6,5,4,9
B1,Control,10,B1:102,14,0,0,4,0,4,0,0,4,4
B1,Control,10,B1:102,15,0,1,0,0,0,1,1,0,1
