Block,Treatment,pop,replicate,comptotaleeF,comptotaleeM,comptotalWTF,comptotalWTM,comptotalF,comptotalM,comptotalEB,comptotalWT,comptotal
B1,SA,1,B1:1,11,6,7,10,18,16,17,17,34
B1,SA,1,B1:10,5,2,6,8,11,10,7,14,21
B1,SA,1,B1:11,2,2,3,7,5,9,4,10,14
B1,SA,1,B1:12,3,3,2,2,5,5,6,4,10
B1,SA,1,B1:2,6,8,17,10,23,18,14,27,41
B1,SA,1,B1:3,10,7,9,14,19,21,17,23,40
B1,SA,1,B1:4,8,1,1,3,9,4,9,4,13
B1,SA,1,B1:5,1,1,2,2,3,3,2,4,6
B1,SA,1,B1:6,6,5,13,9,19,14,11,22,33
B1,SA,1,B1:7,2,2,0,4,2,6,4,4,8
B1,SA,1,B1:8,5,10,9,10,14,20,15,19,34
B1,SA,1,B1:9,4,6,6,4,10,10,10,10,20
B2,SA,1,B2:1,18,14,20,20,38,34,32,40,72
B2,SA,1,B2:10,11,14,10,17,21,31,25,27,52
B2,SA,1,B2:11,11,9,10,18,21,27,20,28,48
B2,SA,1,B2:12,10,15,18,18,28,33,25,36,61
B2,SA,1,B2:2,6,9,10,3,16,12,15,13,28
B2,SA,1,B2:3,8,5,5,10,13,15,13,15,28
B2,SA,1,B2:4,14,18,15,23,29,41,32,38,70
B2,SA,1,B2:5,6,3,10,19,16,22,9,29,38
B2,SA,1,B2:6,7,8,8,10,15,18,15,18,33
B2,SA,1,B2:7,13,18,17,17,30,35,31,34,65
B2,SA,1,B2:8,11,11,13,20,24,31,22,33,55
B2,SA,1,B2:9,14,5,12,15,26,20,19,27,46
B1,SA,2,B1:13,12,5,17,19,29,24,17,36,53
B1,SA,2,B1:14,7,10,15,9,22,19,17,24,41
B1,SA,2,B1:15,8,8,14,12,22,20,16,26,42
B1,SA,2,B1:16,8,6,11,11,19,17,14,22,36
B1,SA,2,B1:17,9,10,8,12,17,22,19,20,39
B1,SA,2,B1:18,10,11,20,17,30,28,21,37,58
B1,SA,2,B1:19,2,3,8,9,10,12,5,17,22
B1,SA,2,B1:20,3,5,14,13,17,18,8,27,35
B1,SA,2,B1:21,9,6,12,9,21,15,15,21,36
B1,SA,2,B1:22,7,10,8,7,15,17,17,15,32
B1,SA,2,B1:23,7,6,16,11,23,17,13,27,40
B1,SA,2,B1:24,3,3,4,5,7,8,6,9,15
B2,SA,2,B2:13,14,15,17,25,31,40,29,42,71
B2,SA,2,B2:14,3,5,5,9,8,14,8,14,22
B2,SA,2,B2:15,1,3,1,5,2,8,4,6,10
B2,SA,2,B2:16,11,10,14,15,25,25,21,29,50
B2,SA,2,B2:17,9,11,15,15,24,26,20,30,50
B2,SA,2,B2:18,22,12,13,11,35,23,34,24,58
B2,SA,2,B2:19,12,4,16,17,28,21,16,33,49
B2,SA,2,B2:20,4,9,13,9,17,18,13,22,35
B2,SA,2,B2:21,9,7,8,18,17,25,16,26,42
B2,SA,2,B2:22,9,12,14,20,23,32,21,34,55
B1,SA,3,B1:25,21,9,22,21,43,30,30,43,73
B1,SA,3,B1:26,8,6,12,21,20,27,14,33,47
B1,SA,3,B1:27,3,4,6,7,9,11,7,13,20
B1,SA,3,B1:28,13,14,16,19,29,33,27,35,62
B1,SA,3,B1:29,5,8,14,9,19,17,13,23,36
B1,SA,3,B1:30,6,7,17,10,23,17,13,27,40
B1,SA,3,B1:31,8,9,13,16,21,25,17,29,46
B1,SA,3,B1:32,8,16,17,14,25,30,24,31,55
B1,SA,3,B1:33,11,5,27,10,38,15,16,37,53
B1,SA,3,B1:34,11,9,10,12,21,21,20,22,42
B1,SA,3,B1:35,9,4,10,14,19,18,13,24,37
B1,SA,3,B1:36,12,16,23,20,35,36,28,43,71
B2,SA,3,B2:23,11,7,16,9,27,16,18,25,43
B2,SA,3,B2:24,10,10,7,12,17,22,20,19,39
B2,SA,3,B2:25,11,5,18,9,29,14,16,27,43
B2,SA,3,B2:26,15,23,16,16,31,39,38,32,70
B2,SA,3,B2:27,18,12,26,20,44,32,30,46,76
B2,SA,3,B2:28,9,8,21,21,30,29,17,42,59
B2,SA,3,B2:29,12,14,16,16,28,30,26,32,58
B2,SA,3,B2:30,16,8,27,19,43,27,24,46,70
B2,SA,3,B2:31,12,6,13,8,25,14,18,21,39
B2,SA,3,B2:32,12,9,14,13,26,22,21,27,48
B2,SA,3,B2:33,23,12,9,17,32,29,35,26,61
B2,SA,3,B2:34,13,6,21,16,34,22,19,37,56
B1,SA,4,B1:37,12,14,9,12,21,26,26,21,47
B1,SA,4,B1:38,15,5,11,12,26,17,20,23,43
B1,SA,4,B1:39,12,15,9,11,21,26,27,20,47
B1,SA,4,B1:40,5,10,6,6,11,16,15,12,27
B1,SA,4,B1:41,8,10,12,11,20,21,18,23,41
B1,SA,4,B1:42,9,10,16,11,25,21,19,27,46
B1,SA,4,B1:43,12,3,12,9,24,12,15,21,36
B1,SA,4,B1:44,9,9,12,13,21,22,18,25,43
B1,SA,4,B1:45,3,4,6,8,9,12,7,14,21
B1,SA,4,B1:46,13,11,26,19,39,30,24,45,69
B1,SA,4,B1:47,3,11,14,7,17,18,14,21,35
B1,SA,4,B1:48,15,12,26,16,41,28,27,42,69
B2,SA,4,B2:35,17,17,18,11,35,28,34,29,63
B2,SA,4,B2:36,24,22,9,27,33,49,46,36,82
B2,SA,4,B2:37,12,7,9,11,21,18,19,20,39
B2,SA,4,B2:38,19,14,25,22,44,36,33,47,80
B2,SA,4,B2:39,8,13,15,13,23,26,21,28,49
B2,SA,4,B2:40,21,12,16,20,37,32,33,36,69
B2,SA,4,B2:41,12,16,16,17,28,33,28,33,61
B2,SA,4,B2:42,10,14,15,13,25,27,24,28,52
B2,SA,4,B2:43,23,11,10,17,33,28,34,27,61
B2,SA,4,B2:44,9,11,9,10,18,21,20,19,39
B2,SA,4,B2:45,7,10,11,12,18,22,17,23,40
B2,SA,4,B2:46,15,20,11,28,26,48,35,39,74
B1,SA,5,B1:49,10,13,16,12,26,25,23,28,51
B1,SA,5,B1:50,11,7,16,15,27,22,18,31,49
B1,SA,5,B1:51,5,9,11,12,16,21,14,23,37
B1,SA,5,B1:52,6,6,3,6,9,12,12,9,21
B1,SA,5,B1:53,14,9,17,14,31,23,23,31,54
B1,SA,5,B1:54,15,17,30,20,45,37,32,50,82
B1,SA,5,B1:55,10,12,17,17,27,29,22,34,56
B1,SA,5,B1:56,11,6,12,7,23,13,17,19,36
B1,SA,5,B1:57,1,2,3,3,4,5,3,6,9
B1,SA,5,B1:58,6,9,11,4,17,13,15,15,30
B1,SA,5,B1:59,8,11,11,15,19,26,19,26,45
B1,SA,5,B1:60,17,18,17,25,34,43,35,42,77
B2,SA,5,B2:47,8,8,14,14,22,22,16,28,44
B2,SA,5,B2:48,6,6,3,10,9,16,12,13,25
B2,SA,5,B2:49,13,11,15,5,28,16,24,20,44
B2,SA,5,B2:50,9,12,6,11,15,23,21,17,38
B2,SA,5,B2:51,11,3,7,4,18,7,14,11,25
B2,SA,5,B2:52,19,8,5,17,24,25,27,22,49
B2,SA,5,B2:53,7,7,16,26,23,33,14,42,56
B2,SA,5,B2:54,5,8,16,8,21,16,13,24,37
B2,SA,5,B2:55,13,7,10,8,23,15,20,18,38
B2,SA,5,B2:56,5,6,11,14,16,20,11,25,36
B2,SA,5,B2:57,6,8,20,16,26,24,14,36,50
B2,SA,5,B2:58,5,9,1,11,6,20,14,12,26
B1,Control,6,B1:61,3,2,6,5,9,7,5,11,16
B1,Control,6,B1:62,8,17,17,18,25,35,25,35,60
