Block,Treatment,pop,vial,total,tot10,tot11,tot12,tot13,tot14,tot15,tot16,cumprop10,cumprop11,cumprop12,cumprop13,cumprop14,cumprop15,cumprop16
B1,SA,1,B1:1,34,4,12,9,6,2,1,0,0.117647059,0.470588235,0.735294118,0.911764706,0.970588235,1,1
B1,SA,1,B1:2,41,1,12,17,8,2,0,1,0.024390244,0.317073171,0.731707317,0.926829268,0.975609756,0.975609756,1
B1,SA,1,B1:3,40,0,19,18,2,1,0,0,0,0.475,0.925,0.975,1,1,1
B1,SA,1,B1:4,13,0,5,4,3,1,0,0,0,0.384615385,0.692307692,0.923076923,1,1,1
B1,SA,1,B1:5,6,0,1,1,3,1,0,0,0,0.166666667,0.333333333,0.833333333,1,1,1
B1,SA,1,B1:6,33,0,5,11,6,8,3,0,0,0.151515152,0.484848485,0.666666667,0.909090909,1,1
B1,SA,1,B1:7,8,0,0,4,2,1,1,0,0,0,0.5,0.75,0.875,1,1
B1,SA,1,B1:8,34,0,3,16,6,4,1,4,0,0.088235294,0.558823529,0.735294118,0.852941176,0.882352941,1
B1,SA,1,B1:9,20,1,3,11,3,2,0,0,0.05,0.2,0.75,0.9,1,1,1
B1,SA,1,B1:10,21,0,6,10,3,2,0,0,0,0.285714286,0.761904762,0.904761905,1,1,1
B1,SA,1,B1:11,14,0,2,6,1,5,0,0,0,0.142857143,0.571428571,0.642857143,1,1,1
B1,SA,1,B1:12,10,0,7,2,1,0,0,0,0,0.7,0.9,1,1,1,1
B1,SA,2,B1:13,53,0,0,18,9,13,6,7,0,0,0.339622642,0.509433962,0.754716981,0.867924528,1
B1,SA,2,B1:14,41,0,8,12,5,11,3,2,0,0.195121951,0.487804878,0.609756098,0.87804878,0.951219512,1
B1,SA,2,B1:15,42,0,7,17,5,8,4,1,0,0.166666667,0.571428571,0.69047619,0.880952381,0.976190476,1
B1,SA,2,B1:16,36,2,17,8,4,4,1,0,0.055555556,0.527777778,0.75,0.861111111,0.972222222,1,1
B1,SA,2,B1:17,39,0,0,16,8,6,7,2,0,0,0.41025641,0.615384615,0.769230769,0.948717949,1
B1,SA,2,B1:18,58,0,5,20,11,10,6,6,0,0.086206897,0.431034483,0.620689655,0.793103448,0.896551724,1
B1,SA,2,B1:19,22,0,10,6,4,2,0,0,0,0.454545455,0.727272727,0.909090909,1,1,1
B1,SA,2,B1:20,35,0,3,17,8,6,1,0,0,0.085714286,0.571428571,0.8,0.971428571,1,1
B1,SA,2,B1:21,36,0,12,13,6,3,2,0,0,0.333333333,0.694444444,0.861111111,0.944444444,1,1
B1,SA,2,B1:22,32,1,17,3,6,2,2,1,0.03125,0.5625,0.65625,0.84375,0.90625,0.96875,1
B1,SA,2,B1:23,40,0,5,19,8,5,3,0,0,0.125,0.6,0.8,0.925,1,1
B1,SA,2,B1:24,15,0,4,6,2,3,0,0,0,0.266666667,0.666666667,0.8,1,1,1
